name,director,rating,category,duration,tag,lables
大地雄狮,穆斯塔法·阿卡德,7.6,剧情/传记/战争,173,战争/历史/利比亚/美国/利比亚/大地雄师/非洲/1981/传记,1168
新警察故事,陈木胜,7.5,剧情/动作/惊悚/犯罪,123,香港/动作/警匪/犯罪/2004/剧情/经典/人性,2078
最后的独角兽,朱尔斯 巴斯 (Jules Bass),8.3,动画/奇幻,92,动画/独角兽/美国/奇幻/魔幻/动画片/日本/英国,2205
万尼亚在42街口,路易·马勒,7.6,剧情/喜剧/爱情,119,路易·马勒/法国/美国/LouisMalle/1994/JulianneMoore/Louis_Malle/1990s,2077
生死恋,维克多·斯约斯特洛姆,7.6,剧情,136,瑞典/默片/1910s/Victor_Sj?str?m/维克多·斯约斯特洛姆/瑞典电影/1918/VictorSj?str?m,238
青春之杀人者,长谷川和彦,7.2,剧情/犯罪,132,日本/长谷川和彦/日本电影/1976/原田美枝子/青春/1970s/犯罪,2451
离婚,王好为,8.1,剧情,101,老舍/中国电影/中国/小说改编/1992/王好为/大陆/剧情,2015
雪地狂奔,布莱恩·莱温特,7.3,喜剧/家庭/冒险/运动,99,喜剧/狗狗/美国/动物/美国电影/狗/雪地狂奔/电影,706
初恋的回忆,亚当·尚克曼,7.5,剧情/爱情,101,爱情/美国/青春/初恋/美国电影/MandyMoore/电影/2002,2175
屠夫,克洛德·夏布洛尔,7.3,剧情/惊悚,93,法国/新浪潮/Claude_Chabrol/克劳德·夏布洛尔/法国电影/惊悚/ClaudeChabrol/1970s,1249
奸情一箩筐,卡尔·雷纳,7.3,喜剧/惊悚/犯罪,91,喜剧/恶搞/美国/美国电影/1993/搞笑/奸情一篓筐/犯罪,2208
舞国英雄,巴兹·鲁赫曼,7.5,剧情/喜剧/爱情,94,澳大利亚/舞蹈/爱情/歌舞/歌舞片/1992/澳大利亚电影/BazLuhrmann,1912
人狼,冲浦启之,8.6,科幻/动画,102,押井守/动画/日本/日本动画/科幻/人狼/动漫/1999,1640
双手,无,7.3,喜剧/犯罪,103,HeathLedger/澳大利亚/黑色幽默/犯罪/喜剧/澳大利亚電影/RoseByrne/1999,912
木屐树,埃曼诺·奥尔米,8.8,剧情/历史,186,意大利/意大利电影/金棕榈/1978/戛纳电影节金棕榈奖/埃曼诺·奥尔米/Ermanno_Olmi/金棕榈奖,2128
全垒打王,阿瑟·希勒,7.4,剧情/传记/运动,115,美国/棒球/传记/美国电影/全垒打/Baseball/电影/剧情,109
维果，人生的激情,朱利安·邓波,7.7,剧情,106,法国/传记/法国电影/爱情/让·维果/Vigo/1990s/JulienTemple,1822
骗中骗2,杰里米·卡根,7.5,喜剧/犯罪,102,犯罪/骗中骗/美国/喜剧/骗局/悬疑/黑帮/美国电影,1851
美少年之恋,杨凡,7.5,剧情/爱情/同性,101,吴彦祖/同志/香港/冯德伦/美少年之恋/香港电影/爱情/同性恋,2493
霹雳舞,无,7.7,剧情/喜剧/爱情/歌舞,90,美国/霹雳舞/歌舞/美国电影/舞蹈/歌舞片/1984/音乐,1167
年年有今日,高志森,7.7,剧情/喜剧,100,香港/梁家辉/香港电影/袁咏仪/爱情/喜剧/1994/高志森,1414
野妈妈,姚守岗,8.1,剧情,0,中国电影/文革/大陆/1985/中国/1980s/童年/中国大陆,2305
爱的蹦极,金大胜,7.5,剧情/爱情/同性,107,韩国/韩国电影/爱情/李秉宪/李恩珠/爱的蹦极/同志/电影,838
找到卡特,迈克·霍奇斯,7.4,剧情/惊悚/犯罪,112,英国/犯罪/1970s/MichaelCaine/英国电影/1971/黑色幽默/剧情,1184
曼波王,艾恩·格里姆彻,7.7,剧情/音乐,104,音乐/美国/AntonioBanderas/拉丁爵士/舞蹈/音乐电影/安东尼奥班德拉斯/1992,2211
学校怪谈4,平山秀幸 (Hideyuki Hirayama),7.2,剧情/惊悚/恐怖,0,恐怖/日本/日本电影/学校怪谈4/恐怖片/恐怖电影/灵异/校园怪谈,2382
